lead_id,team_name,user_name,user_email,customer_name,customer_email,customer_phone,customer_cpf,source,subject,lead_created_at,first_interaction_at,negotiation_importance,negotiation_stage,negotiation_status,is_open,negotiation_created_at,negotiation_updated_at,finalization_reason
11,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 11,cliente_11@provedor.com.br,11901700875,90230548649,Loja Física,Interesse no Produto Ref: 6395,2026-02-28 03:11:35,2026-02-28 06:41:35,frio,Aguardando resposta do cliente,Aberto,TRUE,2026-02-28 03:11:35,2026-03-04 06:41:35,
12,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 12,cliente_12@provedor.com.br,11959484647,35955263535,Loja Física,Interesse no Produto Ref: 9730,2025-10-14 21:00:35,2025-10-14 22:04:35,frio,Contato inicial,Finalizado com venda,FALSE,2025-10-14 21:00:35,2025-10-22 22:04:35,Sucesso / Venda Concluída
13,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 13,cliente_13@provedor.com.br,11941686756,79460676257,Mercado Livre,Interesse no Produto Ref: 4803,2026-02-22 22:16:35,2026-02-22 22:45:35,morno,Enviou proposta,Aberto,TRUE,2026-02-22 22:16:35,2026-03-02 22:45:35,
14,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 14,cliente_14@provedor.com.br,11926296096,33286108337,Instagram,Interesse no Produto Ref: 3233,2026-03-18 01:09:35,2026-03-18 01:36:35,quente,Teste drive,Finalizado com venda,FALSE,2026-03-18 01:09:35,2026-03-27 01:36:35,Sucesso / Venda Concluída
15,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 15,cliente_15@provedor.com.br,11907859275,89929014200,Indicação,Interesse no Produto Ref: 7241,2025-07-13 15:04:35,2025-07-13 15:13:35,morno,Teste drive,Finalizado com venda,FALSE,2025-07-13 15:04:35,2025-07-14 15:13:35,Sucesso / Venda Concluída
16,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 16,cliente_16@provedor.com.br,11910370862,45031433725,Indicação,Interesse no Produto Ref: 5216,2025-11-30 02:25:35,2025-11-30 03:46:35,morno,Contato inicial,Aberto,TRUE,2025-11-30 02:25:35,2025-12-13 03:46:35,
17,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 17,cliente_17@provedor.com.br,11983645691,75215563829,Mercado Livre,Interesse no Produto Ref: 5148,2025-09-10 16:35:35,2025-09-10 19:45:35,morno,Enviou proposta,Finalizado com venda,FALSE,2025-09-10 16:35:35,2025-09-16 19:45:35,Sucesso / Venda Concluída
18,Equipe PA,Consultor 18,consultor18@empresa.com.br,Cliente Exemplo 18,cliente_18@provedor.com.br,11953040710,58519208270,Instagram,Interesse no Produto Ref: 3688,2025-07-03 17:55:35,2025-07-03 19:37:35,morno,Contato inicial,Finalizado sem venda,FALSE,2025-07-03 17:55:35,2025-07-13 19:37:35,Falta de contato
19,Equipe PA,Consultor 02,consultor2@empresa.com.br,Cliente Exemplo 19,cliente_19@provedor.com.br,11987760622,01999548785,Facebook,Interesse no Produto Ref: 3146,2025-12-18 00:04:35,2025-12-18 00:13:35,morno,Teste drive,Em negociação,TRUE,2025-12-18 00:04:35,2025-12-26 00:13:35,
20,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 20,cliente_20@provedor.com.br,11992750922,14170269656,Mercado Livre,Interesse no Produto Ref: 2884,2025-10-14 06:35:35,2025-10-14 07:16:35,quente,Aguardando resposta do cliente,Aberto,TRUE,2025-10-14 06:35:35,2025-10-20 07:16:35,
21,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 21,cliente_21@provedor.com.br,11971900786,13327718744,Indicação,Interesse no Produto Ref: 5123,2025-05-05 13:52:35,2025-05-05 15:17:35,quente,Teste drive,Finalizado com venda,FALSE,2025-05-05 13:52:35,2025-05-14 15:17:35,Sucesso / Venda Concluída
22,Equipe PA,Consultor 18,consultor18@empresa.com.br,Cliente Exemplo 22,cliente_22@provedor.com.br,11987044956,34505832556,Indicação,Interesse no Produto Ref: 2825,2026-03-01 00:37:35,2026-03-01 01:35:35,quente,Contato inicial,Finalizado com venda,FALSE,2026-03-01 00:37:35,2026-03-07 01:35:35,Sucesso / Venda Concluída
23,Equipe PA,Consultor 17,consultor17@empresa.com.br,Cliente Exemplo 23,cliente_23@provedor.com.br,11966570751,11231735211,Instagram,Interesse no Produto Ref: 5630,2025-10-28 00:37:35,2025-10-28 05:05:35,morno,Enviou proposta,Finalizado sem venda,FALSE,2025-10-28 00:37:35,2025-11-11 05:05:35,Sem estoque
24,Equipe PA,Consultor 17,consultor17@empresa.com.br,Cliente Exemplo 24,cliente_24@provedor.com.br,11935292700,01240261818,Loja Física,Interesse no Produto Ref: 2382,2025-11-02 03:02:35,2025-11-02 06:41:35,morno,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-11-02 03:02:35,2025-11-02 06:41:35,Preço
25,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 25,cliente_25@provedor.com.br,11946723516,26122806041,Indicação,Interesse no Produto Ref: 8693,2025-07-09 10:59:35,2025-07-09 15:32:35,quente,Contato inicial,Finalizado com venda,FALSE,2025-07-09 10:59:35,2025-07-14 15:32:35,Sucesso / Venda Concluída
26,Equipe SJC,Consultor 11,consultor11@empresa.com.br,Cliente Exemplo 26,cliente_26@provedor.com.br,11938100582,70862252084,WhatsApp,Interesse no Produto Ref: 8807,2025-11-22 08:23:35,2025-11-22 09:07:35,frio,Enviou proposta,Finalizado sem venda,FALSE,2025-11-22 08:23:35,2025-11-24 09:07:35,Preço
27,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 27,cliente_27@provedor.com.br,11928512256,38812992834,Facebook,Interesse no Produto Ref: 4090,2025-05-11 10:08:35,2025-05-11 12:16:35,frio,Teste drive,Finalizado sem venda,FALSE,2025-05-11 10:08:35,2025-05-15 12:16:35,Falta de contato
28,Equipe PA,Consultor 17,consultor17@empresa.com.br,Cliente Exemplo 28,cliente_28@provedor.com.br,11984243236,66548053797,WhatsApp,Interesse no Produto Ref: 6546,2025-05-25 18:02:35,2025-05-25 21:16:35,frio,Enviou proposta,Finalizado com venda,FALSE,2025-05-25 18:02:35,2025-06-08 21:16:35,Sucesso / Venda Concluída
29,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 29,cliente_29@provedor.com.br,11955093060,03244202712,WhatsApp,Interesse no Produto Ref: 9794,2025-12-13 22:03:35,2025-12-14 02:58:35,morno,Contato inicial,Aberto,TRUE,2025-12-13 22:03:35,2025-12-29 02:58:35,
30,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 30,cliente_30@provedor.com.br,11911086849,79522507278,Instagram,Interesse no Produto Ref: 3124,2025-05-05 07:58:35,2025-05-05 11:57:35,frio,Enviou proposta,Finalizado sem venda,FALSE,2025-05-05 07:58:35,2025-05-07 11:57:35,Preço
31,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 31,cliente_31@provedor.com.br,11948209297,10535643559,Mercado Livre,Interesse no Produto Ref: 3725,2025-04-13 14:24:35,2025-04-13 14:54:35,frio,Contato inicial,Aberto,TRUE,2025-04-13 14:24:35,2025-04-26 14:54:35,
32,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 32,cliente_32@provedor.com.br,11982169176,75641103147,Mercado Livre,Interesse no Produto Ref: 3020,2025-04-20 18:06:35,2025-04-20 21:53:35,frio,Aguardando resposta do cliente,Finalizado com venda,FALSE,2025-04-20 18:06:35,2025-04-29 21:53:35,Sucesso / Venda Concluída
33,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 33,cliente_33@provedor.com.br,11928768782,81202753894,Mercado Livre,Interesse no Produto Ref: 8117,2025-10-17 07:10:35,2025-10-17 07:21:35,quente,Teste drive,Aberto,TRUE,2025-10-17 07:10:35,2025-10-25 07:21:35,
34,Equipe Caçapava,Consultor 09,consultor9@empresa.com.br,Cliente Exemplo 34,cliente_34@provedor.com.br,11996490645,66514621364,Loja Física,Interesse no Produto Ref: 8275,2025-06-08 13:39:35,2025-06-08 13:49:35,frio,Aguardando pagamento,Aberto,TRUE,2025-06-08 13:39:35,2025-06-12 13:49:35,
35,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 35,cliente_35@provedor.com.br,11950304858,03303045485,Indicação,Interesse no Produto Ref: 8987,2025-04-23 05:46:35,2025-04-23 06:08:35,quente,Contato inicial,Finalizado com venda,FALSE,2025-04-23 05:46:35,2025-04-30 06:08:35,Sucesso / Venda Concluída
36,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 36,cliente_36@provedor.com.br,11942726225,39947583858,Indicação,Interesse no Produto Ref: 2107,2026-03-20 22:55:35,2026-03-20 23:31:35,quente,Teste drive,Finalizado sem venda,FALSE,2026-03-20 22:55:35,2026-03-21 23:31:35,Desistência
37,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 37,cliente_37@provedor.com.br,11920710459,41802551116,Indicação,Interesse no Produto Ref: 2623,2025-07-03 17:06:35,2025-07-03 18:58:35,frio,Aguardando resposta do cliente,Finalizado com venda,FALSE,2025-07-03 17:06:35,2025-07-06 18:58:35,Sucesso / Venda Concluída
38,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 38,cliente_38@provedor.com.br,11971525678,66347984873,Loja Física,Interesse no Produto Ref: 2980,2025-12-07 14:55:35,2025-12-07 16:47:35,frio,Aguardando pagamento,Em negociação,TRUE,2025-12-07 14:55:35,2025-12-16 16:47:35,
39,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 39,cliente_39@provedor.com.br,11935192345,82045217147,Facebook,Interesse no Produto Ref: 2433,2025-04-28 03:32:35,2025-04-28 06:10:35,morno,Teste drive,Aberto,TRUE,2025-04-28 03:32:35,2025-04-29 06:10:35,
40,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 40,cliente_40@provedor.com.br,11933187619,38874833290,WhatsApp,Interesse no Produto Ref: 6314,2025-11-17 02:15:35,2025-11-17 05:47:35,morno,Enviou proposta,Em negociação,TRUE,2025-11-17 02:15:35,2025-11-21 05:47:35,
41,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 41,cliente_41@provedor.com.br,11984581749,78446086460,Facebook,Interesse no Produto Ref: 5068,2025-11-07 15:46:35,2025-11-07 18:02:35,frio,Contato inicial,Aberto,TRUE,2025-11-07 15:46:35,2025-11-15 18:02:35,
42,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 42,cliente_42@provedor.com.br,11994849125,17367381649,Mercado Livre,Interesse no Produto Ref: 3385,2025-12-16 12:06:35,2025-12-16 15:08:35,morno,Aguardando resposta do cliente,Em negociação,TRUE,2025-12-16 12:06:35,2025-12-31 15:08:35,
43,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 43,cliente_43@provedor.com.br,11978983513,74974975595,Instagram,Interesse no Produto Ref: 9304,2025-06-18 17:53:35,2025-06-18 21:55:35,quente,Teste drive,Em negociação,TRUE,2025-06-18 17:53:35,2025-06-23 21:55:35,
44,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 44,cliente_44@provedor.com.br,11952155681,52477275982,Facebook,Interesse no Produto Ref: 8189,2025-06-25 08:49:35,2025-06-25 11:59:35,frio,Aguardando pagamento,Finalizado sem venda,FALSE,2025-06-25 08:49:35,2025-07-09 11:59:35,Falta de contato
45,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 45,cliente_45@provedor.com.br,11941559948,34014437217,Mercado Livre,Interesse no Produto Ref: 6290,2025-05-07 15:18:35,2025-05-07 20:06:35,quente,Enviou proposta,Em negociação,TRUE,2025-05-07 15:18:35,2025-05-14 20:06:35,
46,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 46,cliente_46@provedor.com.br,11954871919,49380947598,Facebook,Interesse no Produto Ref: 2772,2025-07-04 19:39:35,2025-07-04 20:05:35,frio,Aguardando resposta do cliente,Aberto,TRUE,2025-07-04 19:39:35,2025-07-14 20:05:35,
47,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 47,cliente_47@provedor.com.br,11910109604,52597228615,Indicação,Interesse no Produto Ref: 9170,2025-09-13 11:08:35,2025-09-13 12:35:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-09-13 11:08:35,2025-09-15 12:35:35,
48,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 48,cliente_48@provedor.com.br,11948468715,42720858703,WhatsApp,Interesse no Produto Ref: 3100,2025-03-28 08:48:35,2025-03-28 11:28:35,frio,Teste drive,Finalizado com venda,FALSE,2025-03-28 08:48:35,2025-04-05 11:28:35,Sucesso / Venda Concluída
49,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 49,cliente_49@provedor.com.br,11962166945,57910434156,Indicação,Interesse no Produto Ref: 9265,2025-08-03 02:59:35,2025-08-03 07:08:35,morno,Teste drive,Finalizado com venda,FALSE,2025-08-03 02:59:35,2025-08-07 07:08:35,Sucesso / Venda Concluída
50,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 50,cliente_50@provedor.com.br,11946108310,21566162609,Indicação,Interesse no Produto Ref: 5935,2025-07-04 06:17:35,2025-07-04 09:33:35,quente,Enviou proposta,Finalizado com venda,FALSE,2025-07-04 06:17:35,2025-07-04 09:33:35,Sucesso / Venda Concluída
51,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 51,cliente_51@provedor.com.br,11992622903,29073495004,Mercado Livre,Interesse no Produto Ref: 4794,2025-06-27 21:11:35,2025-06-27 22:52:35,frio,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-06-27 21:11:35,2025-06-27 22:52:35,Preço
52,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 52,cliente_52@provedor.com.br,11925208083,83118947976,Instagram,Interesse no Produto Ref: 4458,2026-01-04 00:06:35,2026-01-04 02:55:35,morno,Enviou proposta,Finalizado com venda,FALSE,2026-01-04 00:06:35,2026-01-11 02:55:35,Sucesso / Venda Concluída
53,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 53,cliente_53@provedor.com.br,11990628425,75700225876,Loja Física,Interesse no Produto Ref: 1061,2025-12-18 14:59:35,2025-12-18 18:24:35,frio,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-12-18 14:59:35,2025-12-18 18:24:35,Preço
54,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 54,cliente_54@provedor.com.br,11915932812,47405813240,Mercado Livre,Interesse no Produto Ref: 1027,2025-04-08 19:46:35,2025-04-08 23:38:35,quente,Enviou proposta,Aberto,TRUE,2025-04-08 19:46:35,2025-04-13 23:38:35,
55,Equipe Caçapava,Consultor 13,consultor13@empresa.com.br,Cliente Exemplo 55,cliente_55@provedor.com.br,11908012675,51955852644,Mercado Livre,Interesse no Produto Ref: 6119,2025-09-05 15:28:35,2025-09-05 18:23:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-09-05 15:28:35,2025-09-20 18:23:35,
56,Equipe SJC,Consultor 11,consultor11@empresa.com.br,Cliente Exemplo 56,cliente_56@provedor.com.br,11999232687,66709940853,Loja Física,Interesse no Produto Ref: 7832,2025-08-29 21:39:35,2025-08-29 22:12:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-08-29 21:39:35,2025-09-13 22:12:35,
57,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 57,cliente_57@provedor.com.br,11907334925,55977923538,Mercado Livre,Interesse no Produto Ref: 2047,2026-01-22 18:42:35,2026-01-22 19:24:35,frio,Aguardando pagamento,Finalizado sem venda,FALSE,2026-01-22 18:42:35,2026-01-30 19:24:35,Sem estoque
58,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 58,cliente_58@provedor.com.br,11902149128,91880683192,Facebook,Interesse no Produto Ref: 8764,2026-01-01 14:34:35,2026-01-01 15:56:35,frio,Teste drive,Em negociação,TRUE,2026-01-01 14:34:35,2026-01-12 15:56:35,
59,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 59,cliente_59@provedor.com.br,11963572476,52639796720,Indicação,Interesse no Produto Ref: 8363,2025-04-13 18:11:35,2025-04-13 20:01:35,quente,Enviou proposta,Finalizado com venda,FALSE,2025-04-13 18:11:35,2025-04-19 20:01:35,Sucesso / Venda Concluída
60,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 60,cliente_60@provedor.com.br,11913031059,34616601490,Loja Física,Interesse no Produto Ref: 7473,2025-05-08 21:27:35,2025-05-08 21:44:35,quente,Contato inicial,Em negociação,TRUE,2025-05-08 21:27:35,2025-05-21 21:44:35,
61,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 61,cliente_61@provedor.com.br,11913584718,45208761109,Loja Física,Interesse no Produto Ref: 2746,2025-05-31 16:50:35,2025-05-31 19:50:35,quente,Teste drive,Finalizado com venda,FALSE,2025-05-31 16:50:35,2025-06-11 19:50:35,Sucesso / Venda Concluída
62,Equipe PA,Consultor 18,consultor18@empresa.com.br,Cliente Exemplo 62,cliente_62@provedor.com.br,11968800679,89422382283,Facebook,Interesse no Produto Ref: 9290,2025-07-11 03:38:35,2025-07-11 07:04:35,quente,Contato inicial,Finalizado sem venda,FALSE,2025-07-11 03:38:35,2025-07-25 07:04:35,Comprou em outra loja
63,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 63,cliente_63@provedor.com.br,11991373628,05676275313,Mercado Livre,Interesse no Produto Ref: 8013,2025-11-13 05:26:35,2025-11-13 08:30:35,quente,Aguardando resposta do cliente,Finalizado com venda,FALSE,2025-11-13 05:26:35,2025-11-20 08:30:35,Sucesso / Venda Concluída
64,Equipe PA,Consultor 02,consultor2@empresa.com.br,Cliente Exemplo 64,cliente_64@provedor.com.br,11960347765,32592144192,Indicação,Interesse no Produto Ref: 7285,2025-10-06 13:52:35,2025-10-06 18:09:35,morno,Teste drive,Em negociação,TRUE,2025-10-06 13:52:35,2025-10-13 18:09:35,
65,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 65,cliente_65@provedor.com.br,11929500892,92757628424,Mercado Livre,Interesse no Produto Ref: 7009,2025-07-18 19:33:35,2025-07-18 19:41:35,quente,Enviou proposta,Finalizado sem venda,FALSE,2025-07-18 19:33:35,2025-07-20 19:41:35,Preço
66,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 66,cliente_66@provedor.com.br,11931886808,41522593926,Facebook,Interesse no Produto Ref: 1121,2025-09-15 08:18:35,2025-09-15 12:33:35,morno,Aguardando resposta do cliente,Em negociação,TRUE,2025-09-15 08:18:35,2025-09-29 12:33:35,
67,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 67,cliente_67@provedor.com.br,11969257654,19623563844,WhatsApp,Interesse no Produto Ref: 1530,2026-02-18 18:30:35,2026-02-18 21:02:35,frio,Aguardando resposta do cliente,Aberto,TRUE,2026-02-18 18:30:35,2026-02-25 21:02:35,
68,Equipe PA,Consultor 18,consultor18@empresa.com.br,Cliente Exemplo 68,cliente_68@provedor.com.br,11972516079,89492588514,Facebook,Interesse no Produto Ref: 4419,2025-05-18 15:34:35,2025-05-18 18:46:35,quente,Contato inicial,Aberto,TRUE,2025-05-18 15:34:35,2025-05-30 18:46:35,
69,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 69,cliente_69@provedor.com.br,11954925360,90127425144,Facebook,Interesse no Produto Ref: 3831,2025-08-23 15:57:35,2025-08-23 17:42:35,quente,Teste drive,Aberto,TRUE,2025-08-23 15:57:35,2025-09-04 17:42:35,
70,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 70,cliente_70@provedor.com.br,11990288907,85083847250,Facebook,Interesse no Produto Ref: 5597,2026-02-06 17:56:35,2026-02-06 21:56:35,quente,Contato inicial,Em negociação,TRUE,2026-02-06 17:56:35,2026-02-17 21:56:35,
71,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 71,cliente_71@provedor.com.br,11973482517,03492118224,Mercado Livre,Interesse no Produto Ref: 6439,2026-01-05 05:55:35,2026-01-05 06:53:35,quente,Teste drive,Finalizado sem venda,FALSE,2026-01-05 05:55:35,2026-01-09 06:53:35,Comprou em outra loja
72,Equipe PA,Consultor 02,consultor2@empresa.com.br,Cliente Exemplo 72,cliente_72@provedor.com.br,11988366198,48455921867,Mercado Livre,Interesse no Produto Ref: 5863,2025-06-17 03:18:35,2025-06-17 05:34:35,frio,Aguardando resposta do cliente,Aberto,TRUE,2025-06-17 03:18:35,2025-06-17 05:34:35,
73,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 73,cliente_73@provedor.com.br,11932445963,13354823248,WhatsApp,Interesse no Produto Ref: 5928,2026-03-09 03:17:35,2026-03-09 03:49:35,frio,Aguardando pagamento,Aberto,TRUE,2026-03-09 03:17:35,2026-03-14 03:49:35,
74,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 74,cliente_74@provedor.com.br,11992655384,84899584774,Loja Física,Interesse no Produto Ref: 8295,2025-10-04 22:34:35,2025-10-04 23:25:35,quente,Contato inicial,Finalizado sem venda,FALSE,2025-10-04 22:34:35,2025-10-13 23:25:35,Comprou em outra loja
75,Equipe PA,Consultor 17,consultor17@empresa.com.br,Cliente Exemplo 75,cliente_75@provedor.com.br,11969302827,61931038908,Mercado Livre,Interesse no Produto Ref: 4769,2026-02-11 05:21:35,2026-02-11 09:49:35,frio,Aguardando pagamento,Aberto,TRUE,2026-02-11 05:21:35,2026-02-17 09:49:35,
76,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 76,cliente_76@provedor.com.br,11966262205,82622437018,WhatsApp,Interesse no Produto Ref: 9673,2026-03-05 01:15:35,2026-03-05 02:03:35,morno,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2026-03-05 01:15:35,2026-03-07 02:03:35,Comprou em outra loja
77,Equipe PA,Consultor 18,consultor18@empresa.com.br,Cliente Exemplo 77,cliente_77@provedor.com.br,11928008027,20235070503,Loja Física,Interesse no Produto Ref: 9362,2025-05-13 21:31:35,2025-05-13 23:18:35,morno,Aguardando pagamento,Em negociação,TRUE,2025-05-13 21:31:35,2025-05-18 23:18:35,
78,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 78,cliente_78@provedor.com.br,11986014904,40474636275,Loja Física,Interesse no Produto Ref: 5465,2025-05-11 12:14:35,2025-05-11 14:29:35,quente,Teste drive,Em negociação,TRUE,2025-05-11 12:14:35,2025-05-26 14:29:35,
79,Equipe Caçapava,Consultor 13,consultor13@empresa.com.br,Cliente Exemplo 79,cliente_79@provedor.com.br,11916993004,30098536645,Indicação,Interesse no Produto Ref: 2127,2025-03-31 17:40:35,2025-03-31 19:17:35,morno,Teste drive,Finalizado com venda,FALSE,2025-03-31 17:40:35,2025-04-03 19:17:35,Sucesso / Venda Concluída
80,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 80,cliente_80@provedor.com.br,11947638971,33015658075,Indicação,Interesse no Produto Ref: 5584,2025-04-13 18:49:35,2025-04-13 20:02:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-04-13 18:49:35,2025-04-16 20:02:35,
